character,variant,mass,center_x,center_y,first_moment,second_moment,magnitude,edge_density,symmetry,aspect_ratio,projection_variance,l1_normalized_gradient
0,0,1024,0.0,0.0,3.2119140625,220.73341274261475,486.41032061419094,0.025390625,0.9377450980392156,0.8181818181818182,38.052077293396,20.076171875
0,1,1024,0.0,0.0,3.0556640625,218.513503074646,483.0310549022702,0.0244140625,0.9622549019607844,0.8888888888888888,36.18138027191162,19.79296875
0,2,1024,0.0,0.0,3.056640625,207.5221824645996,471.2430370838385,0.0244140625,0.943627450980392,0.8888888888888888,35.345455169677734,19.146484375
0,3,1024,0.0,0.0,3.4443359375,249.594557762146,517.4292222130482,0.0263671875,0.940686274509804,0.8,44.047072410583496,20.92578125
0,4,1024,0.0,0.0,3.4404296875,279.22106075286865,545.9331460902516,0.0302734375,0.9416666666666668,0.7272727272727273,44.21980953216553,24.3515625
0,5,1024,0.0,0.0,3.306640625,246.1169090270996,513.0497051943408,0.021484375,0.9441176470588236,0.9,42.64638900756836,21.71484375
0,6,1024,0.0,0.0,3.4453125,250.73919677734375,518.5672569686598,0.0263671875,0.942156862745098,0.8,44.155242919921875,20.966796875
0,7,1024,0.0,0.0,3.05859375,197.66453552246097,460.4215459771621,0.0244140625,0.9509803921568628,0.8888888888888888,34.56193542480469,18.5546875
0,8,1024,0.0,0.0,2.8525390625,193.6276693344116,454.54042724492615,0.0205078125,0.9416666666666668,0.9,32.458571434020996,18.013671875
0,9,1024,0.0,0.0,3.44140625,223.84812927246097,491.2718188538805,0.0302734375,0.9401960784313724,0.8181818181818182,40.31620788574219,21.294921875
0,10,1024,0.0,0.0,3.306640625,232.0719871520996,498.8366466088874,0.021484375,0.9524509803921568,0.9,41.51583480834961,21.015625
0,11,1024,0.0,0.0,3.443359375,264.3366355895996,531.8101164889589,0.0263671875,0.9583333333333331,0.8,45.22665023803711,21.55078125
0,12,1024,0.0,0.0,3.4453125,216.68255615234375,483.7747409693896,0.029296875,0.9446078431372548,0.8181818181818182,39.750701904296875,20.7734375
0,13,1024,0.0,0.0,3.4443359375,249.594557762146,517.4292222130482,0.0263671875,0.9539215686274508,0.8,44.047072410583496,20.92578125
0,14,1024,0.0,0.0,3.4443359375,241.485182762146,509.3417320424471,0.03125,0.9441176470588236,0.8181818181818182,41.671156883239746,22.4140625
0,15,1024,0.0,0.0,3.44140625,268.21922302246094,535.5221750777459,0.0322265625,0.957843137254902,0.8181818181818182,43.51948547363281,23.828125
