sample_id,label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width
NUM_045,NUMBER,0.00859375,1,1,0.11111111111111112,0.6455026455026455,1,5,3,2,68.70378875732422,0.3049738109111786,0.005135944873918398,0.0,0.93,0.03333333333333333
NUM_046,NUMBER,0.01015625,1,1,0.1111111111111111,0.5155555555555555,1,7,4,2,75.66769409179688,0.33111029863357544,0.004944521344246007,0.0,0.925,0.035
NUM_047,NUMBER,0.00984375,1,1,0.11111111111111112,0.5806451612903226,1,3,6,2,100.81859588623047,0.39721885323524475,0.007682505067457399,0.0,0.93,0.03333333333333333
NUM_048,NUMBER,0.01234375,1,2,0.09999999999999999,0.5428571428571428,1,7,5,2,90.94081115722656,0.15901309251785278,0.007097457763892721,0.0,0.915,0.03125
NUM_049,NUMBER,0.01890625,1,1,0.1111111111111111,0.5876543209876544,1,9,8,2,132.3000030517578,0.3443378508090973,0.009209192247424641,0.0,0.85,0.035
NUM_050,NUMBER,0.02453125,1,3,0.1,0.532,1,6,7,3,220.55508422851562,0.3773735761642456,0.015265656312255436,0.0,0.845,0.035833333333333335
NUM_051,NUMBER,0.018125,1,1,0.1,0.6387096774193548,1,5,6,2,141.96322631835938,0.2016175538301468,0.0092393273024826,0.0,0.885,0.03875
NUM_052,NUMBER,0.0246875,1,2,0.09090909090909091,0.5050505050505051,1,14,13,1,222.3161163330078,0.2289814054965973,0.019367757119589508,0.0,0.82,0.03571428571428572
NUM_053,NUMBER,0.01265625,1,1,0.07692307692307691,0.4358974358974359,1,6,5,2,146.11868286132812,0.41586852073669434,0.011049836887619789,0.0,0.905,0.028999999999999998
NUM_054,NUMBER,0.02109375,1,1,0.09999999999999999,0.45098039215686275,1,11,9,2,157.25921630859375,0.26582369208335876,0.013699591044254937,0.0,0.855,0.034166666666666665
NUM_055,NUMBER,0.015,1,1,0.09999999999999999,0.5102564102564102,1,8,7,1,124.3126449584961,0.3584494888782501,0.009544655635697868,0.0,0.91,0.03125
NUM_056,NUMBER,0.0109375,1,1,0.11111111111111112,0.4910394265232975,1,4,5,2,85.82230377197266,0.31656867265701294,0.004703426881345189,0.0,0.92,0.05
NUM_057,NUMBER,0.02125,1,1,0.1,0.45,1,10,9,3,148.83143615722656,0.2811669707298279,0.010922753737846146,0.0,0.845,0.035833333333333335
NUM_058,NUMBER,0.01015625,1,1,0.1,0.562962962962963,1,7,4,2,91.17263793945312,0.23200494050979614,0.0065958139819756985,0.0,0.91,0.0325
NUM_059,NUMBER,0.02078125,1,1,0.1,0.6,1,8,7,2,191.7080078125,0.22430729866027832,0.012694844029439307,0.0,0.865,0.0325
NUM_060,NUMBER,0.01234375,1,1,0.07142857142857142,0.3865546218487395,1,8,6,2,120.91036987304688,0.26285138726234436,0.011469560245954632,0.0,0.9,0.03
NUM_061,NUMBER,0.01171875,1,2,0.1111111111111111,0.6460905349794238,1,7,5,2,108.82331085205078,0.252547949552536,0.008309997094830511,0.0,0.925,0.02875
NUM_062,NUMBER,0.01625,1,1,0.09999999999999999,0.5871794871794872,1,9,7,2,120.29705047607422,0.3765580356121063,0.010382249625240843,0.0,0.865,0.037000000000000005
NUM_063,NUMBER,0.02125,1,4,0.1111111111111111,0.6345679012345679,1,7,9,2,171.9455108642578,0.4983676075935364,0.013585788177868399,0.0,0.865,0.0325
NUM_064,NUMBER,0.01609375,1,1,0.08333333333333333,0.43859649122807015,1,8,7,2,157.07493591308594,0.44907405972480774,0.013575392919238068,0.0,0.895,0.025
NUM_065,NUMBER,0.0084375,1,1,0.1111111111111111,0.4888888888888889,1,5,3,2,69.00006103515625,0.3271457552909851,0.005267639802732832,0.0,0.93,0.03333333333333333
NUM_066,NUMBER,0.01546875,1,1,0.08333333333333333,0.47863247863247865,1,10,7,2,120.4323959350586,0.16788767278194427,0.008911440357842226,0.0,0.87,0.036000000000000004
NUM_067,NUMBER,0.01703125,1,1,0.1111111111111111,0.42824074074074076,1,10,9,2,116.82162475585938,0.2359616607427597,0.011314584840222299,0.0,0.85,0.035
NUM_068,NUMBER,0.006875,1,1,0.07142857142857142,0.32448979591836735,1,10,7,2,68.18191528320312,0.11468294262886047,0.008134690775823527,0.0,0.915,0.027000000000000003
NUM_069,NUMBER,0.01625,1,1,0.09999999999999999,0.49019607843137253,1,12,11,2,122.62349700927734,0.15372301638126373,0.010222008784573182,0.0,0.86,0.03333333333333333
NUM_070,NUMBER,0.0228125,1,5,0.1,0.6971428571428572,1,5,9,2,203.75564575195312,0.32479068636894226,0.010654442655154903,0.0,0.875,0.035
NUM_071,NUMBER,0.0084375,1,1,0.125,0.71875,1,7,5,1,60.9784049987793,0.2655965983867645,0.006612360376871099,0.0,0.915,0.03
NUM_072,NUMBER,0.01640625,1,1,0.1,0.5314285714285715,1,8,6,1,120.06365966796875,0.31144341826438904,0.007943824740491684,0.0,0.885,0.03875
NUM_073,NUMBER,0.01234375,1,1,0.09090909090909091,0.42946708463949845,1,6,4,2,85.04027557373047,0.15438033640384674,0.00844698198335498,0.0,0.915,0.027000000000000003
NUM_074,NUMBER,0.0159375,1,1,0.07142857142857142,0.40336134453781514,1,10,7,1,139.33474731445312,0.3008303940296173,0.013378190181661767,0.0,0.885,0.032
NUM_075,NUMBER,0.011875,1,2,0.11111111111111112,0.7883597883597884,1,4,5,2,95.84492492675781,0.34473976492881775,0.006225506447052524,0.0,0.905,0.0575
NUM_076,NUMBER,0.0165625,1,1,0.11111111111111112,0.5429292929292929,1,10,8,2,106.68257141113281,0.26298266649246216,0.008671203501276628,0.0,0.865,0.03166666666666666
NUM_077,NUMBER,0.00828125,1,1,0.09999999999999999,0.39285714285714285,1,10,3,1,46.37550354003906,0.3034825623035431,0.005117266596798768,0.0,0.92,0.0275
NUM_078,NUMBER,0.01125,1,1,0.06666666666666667,0.2857142857142857,1,10,5,2,92.58955383300781,0.1433231383562088,0.009087945971703407,0.0,0.915,0.02875
NUM_079,NUMBER,0.01375,1,1,0.09999999999999999,0.49230769230769234,1,9,7,2,125.79769897460938,0.23919326066970825,0.012373249559705009,0.0,0.915,0.026000000000000002
NUM_080,NUMBER,0.0128125,1,2,0.09999999999999999,0.596551724137931,1,8,7,2,93.05070495605469,0.31911396980285645,0.008029313091091242,0.0,0.89,0.028333333333333335
NUM_081,NUMBER,0.0221875,1,1,0.09999999999999999,0.5235294117647059,1,7,10,2,165.51312255859375,0.3928799033164978,0.015243596927774989,0.0,0.845,0.035833333333333335
NUM_082,NUMBER,0.0153125,1,2,0.1111111111111111,0.508641975308642,1,9,8,2,134.71409606933594,0.1837928742170334,0.012232684517122304,0.0,0.885,0.029166666666666664
NUM_083,NUMBER,0.01515625,1,1,0.09999999999999999,0.4846153846153846,1,7,6,1,116.67530059814453,0.30484554171562195,0.007975971296244647,0.0,0.875,0.04125
NUM_084,NUMBER,0.023125,1,2,0.1,0.6444444444444445,1,8,7,2,200.66749572753906,0.3933933973312378,0.012050552810135078,0.0,0.85,0.035
NUM_085,NUMBER,0.01921875,1,4,0.1111111111111111,0.5580246913580247,1,11,8,2,153.24000549316406,0.23864689469337463,0.012587432584175738,0.0,0.855,0.034166666666666665
