character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,85,63,1.119047619047619,1.5476190476190477,470.77484130859375,26.395612621364805,82.70439969005788,1.0,120.6292724609375,1,0,1.0,0.8829787234042553,41.5,0.6699853143519977,1,55.0,0.0,843,2249,580,587,,6.5,44.75,72.0,8.667,50.0,94.333,110.333,66.667
4,86,66,0.9545454545454546,1.5757575757575757,434.0325584411621,24.666699497923734,74.33028612805906,1.0,114.16628646850586,1,0,1.0,0.8947368421052632,42.5,0.6861295387942145,1,56.0,0.0,828,2146,565,604,,8.083,44.5,69.5,11.0,48.917,93.083,106.833,65.25
4,87,62,1.064516129032258,1.532258064516129,478.36289978027344,26.707554954192087,84.36858462051387,1.0,121.81040954589844,1,0,1.0,0.8709677419354839,40.5,0.6538410899097808,1,54.0,0.0,846,2269,583,584,,6.167,44.833,72.333,8.167,50.417,94.583,110.917,66.917
4,88,59,0.11016949152542373,1.347457627118644,537.8900413513184,27.156541856434053,86.59186532607868,1.0,115.14431381225586,1,0,1.0,0.8461538461538461,33.0,0.6471608925660934,1,45.0,0.0,834,1556,586,1381,,11.733,44.867,101.067,24.2,41.25,69.083,110.167,48.5
4,89,62,1.064516129032258,1.532258064516129,462.6567449569702,26.27102091248224,83.00379711324007,1.0,117.25101375579834,1,0,1.0,0.8709677419354839,40.5,0.6538410899097808,1,54.0,0.0,847,2212,572,574,,6.0,45.0,72.083,8.083,49.333,92.333,108.0,66.083
4,90,58,0.1724137931034483,1.293103448275862,513.8801641464233,26.560962381854704,85.53832088514305,1.0,109.58057308197021,1,0,1.0,0.8311688311688312,32.0,0.6275499564277269,1,44.0,0.0,816,1520,579,1322,,11.133,44.067,98.133,21.3,41.0,68.5,107.0,46.75
4,91,68,0.9705882352941176,1.5441176470588236,674.8419761657715,31.446547111513404,95.4854446683544,1.0,152.00561141967773,1,0,1.0,0.8375,33.5,0.6445506597818651,1,45.0,0.0,606,1806,634,831,,3.6,25.6,89.733,11.733,44.533,82.6,129.8,54.933
4,92,57,0.23684210526315788,1.043859649122807,485.4941701889038,25.072675949753624,80.28517034277655,1.0,117.55444240570068,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,564,1847,680,1084,,14.8,48.6,64.0,14.9,45.083,92.833,106.75,51.25
4,93,58,0.27586206896551724,1.1206896551724137,507.4996557235718,25.704803229055926,82.11216488563382,1.0,123.5184850692749,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,564,1894,699,1110,,15.2,49.0,64.533,15.4,46.667,94.75,110.083,52.625
4,94,56,0.17857142857142858,1.0357142857142858,548.1734838485718,26.99841774245003,89.93341444176441,1.0,130.4680700302124,1,0,1.0,0.9545454545454546,31.5,0.7436781659348073,1,43.0,0.0,559,1969,716,1149,,14.2,48.0,65.133,12.4,47.333,96.75,114.417,52.75
