Country,Country_Code,Fertility_2010,Migration_Rate_2010,GDP_Growth_2010,Life_Expectancy_2010,Population_Change_Percent,Score_V1,Score_V2,Predicted_Group,Actual_Group
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.19235147808548,-1.4316026111142275,5.49168370694957,73.2840381673624,9.38145198489463,-0.8871523696761661,-0.5756112530452433,Stable,Moderate Growth
Latvia,LVA,1.36,-17.223863021470233,-1.63514379125596,73.4829268292683,-8.759388907561423,-3.008623904075878,-3.6018461616359643,Declining,Declining
Least developed countries: UN classification,LDC,4.60145641254696,-2.678924465699239,3.83184686671443,61.0408922197593,23.69390798145183,2.0609433353674724,2.161765225167689,Stable,High Growth
Lebanon,LBN,2.256,-8.115981471401753,6.92562408092621,77.529,14.942728921656528,-1.9915672150785906,-1.4979848281244434,Stable,Moderate Growth
Lesotho,LSO,3.25,-2.948527013887532,4.45925951436652,46.045,10.677715377475078,2.8789408783481565,3.059413915063708,Stable,Moderate Growth
Liberia,LBR,5.058,0.7021624138619179,3.07117998186455,59.358,24.263554814247247,2.896255234037575,2.9005091154854874,High Growth,High Growth
Libya,LBY,2.603,1.4791071308476558,2.90736772244718,72.196,6.974534148968603,-0.19844590715764412,-0.21498828219294694,Moderate Growth,Low Growth
Lithuania,LTU,1.5,-25.46975057485886,2.5553360476174,73.2682926829268,-9.240133768898021,-3.689613512838415,-3.750846932524553,Declining,Declining
Low & middle income,LMY,2.72599706462258,-0.8140630961740128,6.68146423959197,68.9547877376437,12.43579504695207,0.04251881745211038,0.5051046800841618,Moderate Growth,Moderate Growth
Low income,LIC,5.45603302277218,-1.7348147702650594,3.52861265697612,59.9256637801227,26.88269950504894,2.8626005280364595,2.924926297811032,Moderate Growth,High Growth
Lower middle income,LMC,3.1709175010369,-1.1548703558609392,5.03254810125347,65.554398103155,14.835820495634122,0.7099601865481832,0.9632132247984474,Moderate Growth,Moderate Growth
Luxembourg,LUX,1.63,15.601051774030335,1.88354824324517,80.6317073170732,22.299503109755737,-0.4758990991765898,-0.6224171705225623,Low Growth,High Growth
"Macao SAR, China",MAC,1.07,18.769087523277467,24.6567815180359,82.2731707317073,25.139664804469277,-0.7402392371925344,2.004344992468023,Low Growth,High Growth
Madagascar,MDG,4.896,-0.08921109264880762,-2.26580252727942,62.597,27.2105733401733,2.329475393698703,1.6561898925549476,Moderate Growth,High Growth
Malawi,MWI,5.263,-0.6290778859394853,3.76961752338009,57.787,28.322931774085298,3.0902136170454533,3.1831353814865184,Moderate Growth,High Growth
Malaysia,MYS,2.144,5.484548734607641,5.43424070379723,75.376,16.697576083788483,-0.49356331227409467,-0.18931468663847972,Stable,High Growth
Maldives,MDV,2.349,17.652830439699326,3.08074690167552,76.756,35.18342978780017,0.6654678485430813,0.6709362674062695,Stable,High Growth
Mali,MLI,6.579,-2.1625946570246417,3.50416521090007,55.993,32.130093335937254,4.043502981286848,4.102725104479869,Stable,High Growth
Malta,MLT,1.36,1.7876615167861658,5.67700103090836,81.3975609756098,21.568703137213273,-2.090626398014395,-1.7555589188661784,Low Growth,High Growth
Marshall Islands,MHL,3.673,-23.46091768503574,5.48848970412462,64.498,-15.442702328798708,-0.9927609257812539,-0.6816252934662914,Stable,Declining
Mauritania,MRT,5.384,0.33264867080609795,-0.603277391963445,65.661,31.753291467178222,2.3415302929540243,1.8793053024630926,High Growth,High Growth
Mauritius,MUS,1.57,-2.0985284708893155,4.12919884822152,72.9673170731707,1.246401151631478,-1.3364730220654155,-1.1979017715323237,Declining,Stable
Mexico,MEX,2.34,-0.3594754430835169,3.47084286921813,73.718,10.683568803903439,-0.7338851022651129,-0.6788933093703481,Stable,Moderate Growth
"Micronesia, Fed. Sts.",FSM,3.271,-16.719360238050957,2.65591372014788,64.892,2.549748930630463,-0.6564895039831279,-0.7049544099947217,Stable,Low Growth
"Middle East, North Africa, Afghanistan & Pakistan",MEA,3.49627868102769,-0.01876354379286287,2.67701833169689,69.2105446964534,18.866899966676304,0.6117019949329378,0.5659163567387396,Moderate Growth,High Growth
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,3.5573121719595,-1.5121618974493354,2.58346778848453,68.4594967501144,17.81625772109918,0.5961261985650605,0.5384641532099583,Moderate Growth,High Growth
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,3.56282894271289,-1.547883846061306,2.58676136907366,68.4912505131132,17.85515525134241,0.5926675040519875,0.5354235845863841,Moderate Growth,High Growth
Middle income,MIC,2.52466580636529,-0.7368778649631714,6.84002309967069,69.7116856504068,11.224732724442646,-0.17523453650656648,0.30748065425764803,Moderate Growth,Moderate Growth
Moldova,MDA,1.703,-29.360100113403167,7.20697461136707,69.876,-6.921925100808634,-3.531865377667353,-3.0025650425355357,Declining,Declining
Monaco,MCO,2.385,24.364502608328557,-0.393849531303786,84.644,14.91421162138528,0.41612145171314574,-0.01951630092086476,Stable,Moderate Growth
Mongolia,MNG,2.4,-2.353008191711014,4.52004039651671,68.5056097560976,19.318146133347355,-0.27515979704436,-0.0869705196825521,Stable,High Growth
Montenegro,MNE,1.7,-3.674357633171248,2.54625315972683,75.990243902439,1.1825426038215903,-1.7562417639285774,-1.818628272320362,Low Growth,Stable
Morocco,MAR,2.629,-2.171742546343033,2.07976488720576,70.821,11.53133999133151,-0.37411731707344864,-0.49572533792263007,Stable,Moderate Growth
Mozambique,MOZ,5.66,-4.220966479972051,3.86194568743883,55.04,29.936408754465095,3.3326772262926556,3.437320214695951,Stable,High Growth
Myanmar,MMR,2.335,-2.3759809965579985,8.82058943535873,63.479,7.376596812581951,0.26849170203719186,1.0026432971675048,Stable,Low Growth
