Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2019 [YR2019]
Austria,AUT,"Population, total",SP.POP.TOTL,8363404,8879920
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.92,1.81
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.54945565734815,1.61582957425298
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.18978770786007,0.846646726414021
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.309,73.29
Azerbaijan,AZE,Net migration,SM.POP.NETM,1373,384
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332,10024283
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.837,1.397
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.248837037553542,-1.33099312036482
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.27841716584672,0.497339072752345
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.449,71.408
"Bahamas, The",BHS,Net migration,SM.POP.NETM,1898,1002
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,367478,394675
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.987,1.843
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.0771669589062469,3.38274086937953
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.16585991920366,-1.29469437720599
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.593,80.471
Bahrain,BHR,Net migration,SM.POP.NETM,-19329,-31967
Bahrain,BHR,"Population, total",SP.POP.TOTL,1228543,1483756
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.38,2.18
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.65046297355514,6.97264399779152
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,0.876530534249878,0.84641125179804
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.009,72.625
Bangladesh,BGD,Net migration,SM.POP.NETM,-1113727,-1016796
Bangladesh,BGD,"Population, total",SP.POP.TOTL,152201981,164913055
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.785,1.715
