Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.195
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,11.0550305527288
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.93468670173474
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702
Afghanistan,AFG,Net migration,SM.POP.NETM,-167460
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.653
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.48564808644622
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.49646196338738
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414
Albania,ALB,Net migration,SM.POP.NETM,-51907
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.875
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.77921908194712
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.9470588317966
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.144
Algeria,DZA,Net migration,SM.POP.NETM,-10788
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.292
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.84468159199173
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.541732698337665
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.587
American Samoa,ASM,Net migration,SM.POP.NETM,-1261
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.275
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88988084312282
Andorra,AND,Population growth (annual %),SP.POP.GROW,-3.86696538756774
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.197
Andorra,AND,Net migration,SM.POP.NETM,-6194
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.194
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.45432400635525
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.85109824897149
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.242
Angola,AGO,Net migration,SM.POP.NETM,122418
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.785
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.0794536101368
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.35346888620455
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.701
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,291
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.411
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,8.96819672899282
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.05636332156278
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.68
Argentina,ARG,Net migration,SM.POP.NETM,-5003
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.5
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.91158696816194
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.693856288987436
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.1731707317073
Armenia,ARM,Net migration,SM.POP.NETM,-30009
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.855
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.95695264975568
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.230041095930877
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.297
Aruba,ABW,Net migration,SM.POP.NETM,501
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.928
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.642043486475501
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.55570626204128
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6951219512195
Australia,AUS,Net migration,SM.POP.NETM,166752
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.44
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.56453337880819
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.240394299500766
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5804878048781
Austria,AUT,Net migration,SM.POP.NETM,22570
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.92
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.54945565734815
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.18978770786007
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.309
Azerbaijan,AZE,Net migration,SM.POP.NETM,1373
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.837
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.248837037553542
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.27841716584672
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.449
"Bahamas, The",BHS,Net migration,SM.POP.NETM,1898
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.987
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.0771669589062469
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.16585991920366
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.593
Bahrain,BHR,Net migration,SM.POP.NETM,-19329
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.38
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.65046297355514
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,0.876530534249878
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.009
Bangladesh,BGD,Net migration,SM.POP.NETM,-1113727
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.785
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.61559986287267
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.407743308362451
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.488
Barbados,BRB,Net migration,SM.POP.NETM,-36
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.494
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.98573282581962
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.218522755959381
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.4048780487805
Belarus,BLR,Net migration,SM.POP.NETM,10300
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.86
