filename,predicted_class,confidence
cell_r13_c7_blob_1_word_2_char_00.png,3,0.9925
cell_r13_c7_blob_1_word_2_char_02.png,9,0.8219
cell_r13_c7_blob_1_word_2_char_04.png,2,0.8794
cell_r13_c7_blob_1_word_2_char_05.png,2,0.9905
cell_r13_c8_blob_1_word_1_char_00.png,0,0.9915
cell_r14_c0_blob_1_word_1_char_01.png,7,0.8211
cell_r14_c10_blob_1_word_1_char_00.png,6,0.9995
cell_r14_c10_blob_1_word_2_char_00.png,8,0.9581
cell_r14_c10_blob_1_word_2_char_01.png,7,0.9992
cell_r14_c10_blob_1_word_2_char_03.png,3,0.9967
cell_r14_c11_blob_1_word_2_char_00.png,8,0.9808
cell_r14_c11_blob_1_word_2_char_02.png,0,0.9832
cell_r14_c11_blob_1_word_3_char_00.png,3,0.8724
cell_r14_c14_blob_1_word_1_char_01.png,6,0.9359
cell_r14_c14_blob_1_word_1_char_02.png,5,1.0
cell_r14_c14_blob_1_word_1_char_03.png,5,0.9628
cell_r14_c14_blob_1_word_1_char_04.png,5,0.484
cell_r14_c14_blob_1_word_1_char_05.png,2,0.9907
cell_r14_c14_blob_1_word_1_char_06.png,5,0.967
cell_r14_c14_blob_1_word_1_char_07.png,3,0.9973
cell_r14_c15_blob_1_word_1_char_01.png,2,0.9998
cell_r14_c15_blob_1_word_2_char_00.png,3,0.9302
cell_r14_c15_blob_1_word_2_char_01.png,5,0.7875
cell_r14_c15_blob_1_word_3_char_00.png,2,1.0
cell_r14_c17_blob_1_word_1_char_00.png,1,0.7014
cell_r14_c17_blob_1_word_1_char_01.png,2,0.9578
cell_r14_c17_blob_1_word_2_char_00.png,2,0.7767
cell_r14_c18_blob_1_word_1_char_00.png,5,0.9819
cell_r14_c18_blob_1_word_2_char_05.png,2,1.0
cell_r14_c6_blob_1_word_1_char_01.png,6,0.9897
cell_r14_c6_blob_1_word_2_char_00.png,1,0.4583
cell_r14_c6_blob_1_word_2_char_03.png,2,0.9375
cell_r14_c6_blob_1_word_2_char_04.png,2,0.9995
cell_r14_c8_blob_1_word_1_char_00.png,0,0.6627
cell_r15_c0_blob_1_word_1_char_00.png,4,0.9996
cell_r15_c0_blob_1_word_1_char_01.png,3,0.996
cell_r15_c10_blob_1_word_2_char_01.png,6,0.5946
cell_r15_c10_blob_1_word_3_char_00.png,4,1.0
cell_r15_c10_blob_1_word_4_char_00.png,5,0.9937
cell_r15_c11_blob_1_word_2_char_01.png,2,0.9822
cell_r15_c11_blob_1_word_3_char_00.png,6,0.5129
cell_r15_c11_blob_1_word_3_char_01.png,2,1.0
cell_r15_c11_blob_1_word_3_char_02.png,2,0.9978
cell_r15_c11_blob_1_word_3_char_03.png,5,0.5727
cell_r15_c14_blob_1_word_1_char_00.png,5,0.9996
cell_r15_c14_blob_1_word_1_char_02.png,3,0.9054
cell_r15_c14_blob_1_word_2_char_01.png,6,0.6865
cell_r15_c14_blob_1_word_3_char_00.png,7,0.9944
cell_r15_c14_blob_1_word_3_char_01.png,2,0.9999
cell_r15_c17_blob_1_word_1_char_00.png,2,0.9545
