filename,prediction
cell_r6_c14_blob_1.png,NUMBER
cell_r6_c15_blob_1.png,NUMBER
cell_r6_c16_blob_1.png,NUMBER
cell_r6_c17_blob_1.png,NUMBER
cell_r6_c18_blob_1.png,NUMBER
cell_r6_c1_blob_1.png,NUMBER
cell_r6_c4_blob_1.png,NUMBER
cell_r6_c5_blob_1.png,NUMBER
cell_r6_c7_blob_1.png,NUMBER
cell_r6_c8_blob_1.png,NUMBER
cell_r6_c9_blob_1.png,NUMBER
cell_r7_c0_blob_1.png,NUMBER
cell_r7_c10_blob_1.png,NUMBER
cell_r7_c13_blob_1.png,NUMBER
cell_r7_c15_blob_1.png,NUMBER
cell_r7_c16_blob_1.png,NUMBER
cell_r7_c17_blob_1.png,NUMBER
cell_r7_c18_blob_1.png,NUMBER
cell_r7_c6_blob_1.png,NUMBER
cell_r7_c9_blob_1.png,NUMBER
cell_r8_c0_blob_1.png,NUMBER
cell_r8_c10_blob_1.png,NUMBER
cell_r8_c12_blob_1.png,NUMBER
cell_r8_c14_blob_1.png,NUMBER
cell_r8_c15_blob_1.png,NUMBER
cell_r8_c16_blob_1.png,NUMBER
cell_r8_c17_blob_1.png,NUMBER
cell_r8_c18_blob_1.png,NUMBER
cell_r8_c19_blob_1.png,NUMBER
cell_r8_c1_blob_1.png,NUMBER
cell_r8_c4_blob_1.png,NUMBER
cell_r8_c6_blob_1.png,NUMBER
cell_r8_c7_blob_1.png,NUMBER
cell_r9_c0_blob_1.png,NUMBER
cell_r9_c18_blob_1.png,NUMBER
cell_r9_c1_blob_1.png,NUMBER
