filename,num_tokens,num_words,num_numbers,num_other,dominant
cell_r8_c12_blob_1_word_3.png,1,1,0,0,words
cell_r8_c12_blob_1_word_4.png,0,0,0,0,none
cell_r8_c13_blob_1_word_1.png,1,1,0,0,words
cell_r8_c14_blob_1_word_1.png,0,0,0,0,none
cell_r8_c15_blob_1_word_1.png,1,0,1,0,numbers
cell_r8_c15_blob_1_word_2.png,0,0,0,0,none
cell_r8_c16_blob_1_word_1.png,1,0,1,0,numbers
cell_r8_c16_blob_1_word_2.png,1,1,0,0,words
cell_r8_c16_blob_1_word_3.png,0,0,0,0,none
cell_r8_c16_blob_1_word_4.png,0,0,0,0,none
cell_r8_c16_blob_1_word_5.png,0,0,0,0,none
cell_r8_c17_blob_1_word_1.png,0,0,0,0,none
cell_r8_c18_blob_1_word_1.png,1,1,0,0,words
cell_r8_c18_blob_1_word_2.png,0,0,0,0,none
cell_r8_c18_blob_1_word_3.png,0,0,0,0,none
cell_r8_c19_blob_1_word_1.png,1,0,0,1,other
cell_r8_c19_blob_1_word_2.png,0,0,0,0,none
cell_r8_c19_blob_1_word_3.png,0,0,0,0,none
cell_r8_c19_blob_1_word_4.png,0,0,0,0,none
cell_r8_c19_blob_1_word_5.png,0,0,0,0,none
cell_r8_c1_blob_1_word_1.png,0,0,0,0,none
cell_r8_c1_blob_1_word_2.png,1,0,0,1,other
cell_r8_c1_blob_1_word_3.png,4,2,1,1,words
cell_r8_c1_blob_1_word_4.png,1,1,0,0,words
cell_r8_c4_blob_1_word_1.png,1,1,0,0,words
cell_r8_c5_blob_1_word_1.png,0,0,0,0,none
cell_r8_c6_blob_1_word_1.png,0,0,0,0,none
cell_r8_c7_blob_1_word_1.png,1,0,0,1,other
cell_r9_c0_blob_1_word_1.png,1,1,0,0,words
cell_r9_c1_blob_1_word_1.png,1,0,0,1,other
cell_r9_c1_blob_1_word_2.png,0,0,0,0,none
cell_r9_c1_blob_1_word_3.png,2,2,0,0,words
cell_r9_c1_blob_1_word_4.png,0,0,0,0,none
cell_r9_c1_blob_1_word_5.png,1,1,0,0,words
cell_r9_c1_blob_1_word_6.png,0,0,0,0,none
